;qx18;qy18;qx34;qy34
0.;0.005383;0.00448;0.006113;0.005088
1.;0.000373;0.000341;0.000423;0.000387
2.;0.000302;0.00028;0.000343;0.000318
3.;0.000242;0.000224;0.000275;0.000255
4.;0.000194;0.000178;0.00022;0.000202
5.;0.00016;0.000144;0.000182;0.000163
6.;0.000137;0.000118;0.000155;0.000134
7.;0.000123;0.000101;0.000139;0.000115
8.;0.000113;0.000092;0.000129;0.000105
9.;0.00011;0.000087;0.000125;0.000099
10.;0.000113;0.00009;0.000129;0.000102
11.;0.000126;0.000098;0.000143;0.000111
12.;0.000152;0.000112;0.000173;0.000127
13.;0.000196;0.000135;0.000222;0.000153
14.;0.000267;0.000165;0.000303;0.000188
15.;0.000367;0.000201;0.000417;0.000228
16.;0.000491;0.000238;0.000557;0.000271
17.;0.000624;0.000273;0.000709;0.00031
18.;0.000748;0.000286;0.00085;0.000324
19.;0.000839;0.00029;0.000953;0.00033
20.;0.000891;0.000289;0.001012;0.000328
21.;0.0009;0.000283;0.001022;0.000322
22.;0.000884;0.000276;0.001004;0.000314
23.;0.000848;0.000268;0.000963;0.000304
24.;0.000802;0.000262;0.000911;0.000297
25.;0.000754;0.000258;0.000856;0.000293
26.;0.000712;0.000257;0.000808;0.000292
27.;0.00068;0.000257;0.000772;0.000292
28.;0.000662;0.000261;0.000752;0.000296
29.;0.000656;0.000266;0.000745;0.000302
30.;0.000662;0.000274;0.000752;0.000311
31.;0.000676;0.000288;0.000768;0.000327
32.;0.000696;0.000309;0.000791;0.000351
33.;0.000722;0.00034;0.00082;0.000386
34.;0.000753;0.000381;0.000855;0.000433
35.;0.000788;0.000432;0.000895;0.00049
36.;0.000832;0.000489;0.000945;0.000555
37.;0.000885;0.00055;0.001005;0.000624
38.;0.000953;0.000617;0.001083;0.000701
39.;0.00104;0.000689;0.001181;0.000783
40.;0.001146;0.000768;0.001301;0.000872
41.;0.001274;0.000856;0.001447;0.000972
42.;0.001429;0.000955;0.001623;0.001084
43.;0.001614;0.001068;0.001833;0.001213
44.;0.001834;0.001197;0.002082;0.001359
45.;0.002082;0.001342;0.002364;0.001524
46.;0.002351;0.001502;0.002669;0.001706
47.;0.002627;0.001676;0.002983;0.001903
48.;0.002908;0.001857;0.003302;0.002109
49.;0.003197;0.002046;0.00363;0.002324
50.;0.003506;0.002242;0.003981;0.002546
51.;0.003849;0.00245;0.004371;0.002782
